Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,0.081727,1.3057813876205019E-9,953.0,1000.0,62.4,0.06644518272427467,21.829521829521827,-0.5347593582887705,1000.0,61952.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,0.10206,1.6317010029322568E-9,1901.0,2000.0,61.0,0.013459726575243039,15.12513601741023,-0.25706940874036016,2000.0,61960.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,0.11359,1.8165164834095368E-9,2851.0,3000.0,60.4,0.003647453936889272,15.082201572551826,-0.16863406408095385,3000.0,61960.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,0.158636,2.7328491811123158E-9,3798.0,4000.0,60.525,4.1387880932968075,15.83155650319828,1.6199376947040374,4000.0,78632.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,0.177926,3.125768339054452E-9,4749.0,5000.0,62.160000000000004,9.1144383723837,18.93744644387319,5.68295114656033,5000.0,78736.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,0.199194,3.56183856104811E-9,5706.0,6000.0,63.366666666666674,12.973058866321658,21.415802645691816,9.21106980586535,6000.0,79256.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,0.209819,3.779755108472374E-9,6659.0,7000.0,63.957142857142856,15.337340024916045,23.47588717015468,11.56677181913775,7000.0,79280.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,0.218744,3.962823479539818E-9,7610.0,8000.0,64.55,16.910329956228484,24.89406779661016,12.979441546486653,8000.0,79288.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,0.226967,4.1315776151087545E-9,8559.0,9000.0,64.97777777777777,18.56810766784264,25.8178394916451,14.626218851570977,9000.0,79328.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,0.2347,4.290275867614481E-9,9506.0,10000.0,65.33,19.374403040359383,26.918212478920744,15.33577533577533,10000.0,79328.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,11000.0,0.245787,4.518264527950022E-9,10457.0,11000.0,65.43636363636364,20.106153251306303,27.192646495595568,16.126185748952125,11000.0,79488.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,12000.0,0.257078,4.760870254702038E-9,11406.0,12000.0,65.7,21.255767713697747,27.915936952714542,17.183098591549307,12000.0,83056.0
