Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1000.0,0.654375,3.690462714682023E-9,1000.0,69.8,29.889727219965163,37.2141372141372,19.25133689839571,1000.0,21800.0,6.0,5.0,5.0,1.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,2000.0,0.865332,5.7629925385117535E-9,2000.0,73.6,40.74386648515734,42.54624591947769,32.13367609254499,2000.0,37976.0,11.0,9.0,9.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,3000.0,1.0089,7.2150627151131636E-9,3000.0,76.0,47.30080068626069,48.53466761972838,39.29173693086003,3000.0,39096.0,11.0,9.0,9.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,4000.0,1.204574,1.0061987965471215E-8,4000.0,77.0,50.19294818767298,50.95948827292111,42.6791277258567,4000.0,56240.0,16.0,13.0,13.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,5000.0,1.302809,1.1493070992744632E-8,5000.0,77.68,51.80552232708504,52.185089974293064,44.366899302093735,5000.0,56312.0,16.0,13.0,13.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,6000.0,1.417034,1.3157568416661686E-8,6000.0,78.60000000000001,54.02283484792206,54.09367179120487,46.9640644361834,6000.0,56328.0,16.0,13.0,13.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,7000.0,1.670606,1.9364307787683277E-8,7000.0,79.10000000000001,55.44886368283245,55.62632696390659,48.72064493515599,7000.0,94616.0,31.0,25.0,25.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,8000.0,1.814684,2.393040938095914E-8,8000.0,79.475,56.36263131738611,56.51483050847457,49.616446762810675,8000.0,122504.0,36.0,29.0,29.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,9000.0,1.940634,2.8104206832746665E-8,9000.0,79.87777777777778,57.42784909790608,57.378206636855744,50.94799566630554,9000.0,128096.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,10000.0,2.058081,3.2016645185649397E-8,10000.0,80.4,58.55185247843006,58.684654300168646,52.13675213675214,10000.0,128768.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,11000.0,2.165266,3.560253827729159E-8,11000.0,80.9090909090909,59.75955795856998,59.78552278820376,53.67306419589675,11000.0,129320.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,12000.0,2.342032,4.292511015095645E-8,12000.0,81.25,60.597768625369106,60.595446584938706,54.72837022132797,12000.0,160128.0,48.0,38.0,38.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,13000.0,2.476652,4.934067004049818E-8,13000.0,81.66923076923077,61.44078218242759,61.48375626313237,55.49122151662309,13000.0,184216.0,57.0,44.0,44.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,14000.0,2.54424,5.259065384459165E-8,14000.0,81.99285714285715,62.21910103940185,62.36751753993134,56.49698015530631,14000.0,185872.0,57.0,44.0,44.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomTreeGenerator,1,15000.0,2.604025,5.548955630097125E-8,15000.0,82.35333333333334,63.03701615914967,63.18497913769123,57.532488368361946,15000.0,187432.0,57.0,44.0,44.0,3.0,0.0,0.0,1.0
